"server","code","serviceCode","price","serviceList","serviceName"
"server1","paypal1","ts","7.0","ServiceList(serviceId=497, serviceCode=ts, serviceName=PayPal)","PayPal"
"server1","phable1","pbl","7.0","ServiceList(serviceId=366, serviceCode=pbl, serviceName=Phable)","Phable"
"server1","pococha1","cpo","7.0","ServiceList(serviceId=735, serviceCode=cpo, serviceName=Pococha)","Pococha"
"server1","stockmock1","oko","7.0","ServiceList(serviceId=696, serviceCode=oko, serviceName=Stock Mock)","StockMock"
"server1","stoxhero1","rxh","7.0","ServiceList(serviceId=722, serviceCode=rxh, serviceName=Stoxhero)","Stoxhero"
"server1","superbook2471","oou","7.0","ServiceList(serviceId=704, serviceCode=oou, serviceName=Superbook247)","Superbook247"
"server1","syenapp1","pea","7.0","ServiceList(serviceId=729, serviceCode=pea, serviceName=SyenApp)","SyenApp"
"server1","taprummy1","ymm","7.0","ServiceList(serviceId=695, serviceCode=ymm, serviceName=Tap Rummy)","TapRummy"
"server1","tatacliq1","ait","7.0","ServiceList(serviceId=13, serviceCode=ait, serviceName=TataCliq)","Tatacliq"
"server1","taxaal1","laa","7.0","ServiceList(serviceId=710, serviceCode=laa, serviceName=Taxaal)","Taxaal"
"server1","timesprime1","mme","7.0","ServiceList(serviceId=306, serviceCode=mme, serviceName=Times Prime)","TimesPrime"
"server1","twelfthman1","twm","7.0","ServiceList(serviceId=502, serviceCode=twm, serviceName=Twelfth Man)","Twelfth Man"
"server1","unicorn3651","onr","7.0","ServiceList(serviceId=711, serviceCode=onr, serviceName=Unicorn365)","Unicorn365"
"server1","vymo1","vvy","7.0","ServiceList(serviceId=725, serviceCode=vvy, serviceName=VYMO)","VYMO"
"server1","winfortune1","nwt","7.0","ServiceList(serviceId=712, serviceCode=nwt, serviceName=Win Fortune)","WinFortune"
"server1","wolt1","rr","7.0","ServiceList(serviceId=434, serviceCode=rr, serviceName=Wolt)","Wolt"
"server1","xl11in1","nln","7.0","ServiceList(serviceId=739, serviceCode=nln, serviceName=XL11.in)","XL11in"
"server1","yatra1","aat","7.0","ServiceList(serviceId=698, serviceCode=aat, serviceName=Yatra)","Yatra"
"server1","yonoarcade1","deo","7.0","ServiceList(serviceId=691, serviceCode=deo, serviceName=Yono Arcade)","YonoArcade"
"server1","zomatohyperpure1","hyo","7.0","ServiceList(serviceId=721, serviceCode=hyo, serviceName=Zomato hyper pure)","Zomatohyperpure"
